classification,batch,batch_size,key_count,Group  1,Group  2,Group  3,Group  4,Group  5,Group  6,Group  7,Group  8,Group  9,Group 10,Group 11,Group 12,Group 13
POSITIVE,UNIQUE,<1>,2,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
NEGATIVE,UNIQUE,<1>,2,2.00000000,2.00000000,2.00000000,0.00000000,1.00000000,2.00000000,2.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.00000000,2.00000000
POSITIVE,DUPLICATE,<1>,2,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000
NEGATIVE,DUPLICATE,<1>,2,2.00000000,2.00000000,2.00000000,0.00000000,1.00000000,2.00000000,2.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.00000000,2.00000000
